player,total_runs,balls_faced,strike_rate
V Kohli,8014,6236,128.51
S Dhawan,6769,5483,123.45
RG Sharma,6630,5183,127.92
DA Warner,6567,4849,135.43
SK Raina,5536,4177,132.54
MS Dhoni,5243,3947,132.84
AB de Villiers,5181,3487,148.58
CH Gayle,4997,3516,142.12
RV Uthappa,4954,3927,126.15
KD Karthik,4843,3687,131.35
KL Rahul,4689,3578,131.05
AM Rahane,4642,3858,120.32
F du Plessis,4571,3435,133.07
SV Samson,4419,3270,135.14
AT Rayudu,4348,3490,124.58
G Gambhir,4217,3524,119.67
SR Watson,3880,2892,134.16
MK Pandey,3859,3288,117.37
SA Yadav,3594,2522,142.51
JC Buttler,3583,2519,142.24
KA Pollard,3437,2447,140.46
RR Pant,3297,2296,143.6
YK Pathan,3222,2334,138.05
